epoch,t.loss,t.auc,v.loss,v.auc,lr,s.cnt,min.v.loss
0,0.8661894202232361,0.5140511063466378,0.8666158318519592,0.5118577218644712,0.005,0,0.8666158318519592
1,0.7302107214927673,0.5527111995502847,0.7304199934005737,0.5494528009405248,0.005,0,0.7304199934005737
2,0.6144261956214905,0.5864702795210073,0.6144667863845825,0.5831154709202405,0.005,0,0.6144667863845825
3,0.5185269713401794,0.6092671397524778,0.5184439420700073,0.6057815324611656,0.005,0,0.5184439420700073
4,0.44073331356048584,0.6210623881933808,0.4405687153339386,0.6176762890175802,0.005,0,0.4405687153339386
5,0.37780922651290894,0.6264500769881372,0.37760478258132935,0.6232958582890036,0.005,0,0.37760478258132935
6,0.327002614736557,0.6287245014750275,0.3267785906791687,0.6258282859296854,0.005,0,0.3267785906791687
7,0.2857452929019928,0.6290689081872738,0.2855032980442047,0.6266316993147915,0.005,0,0.2855032980442047
8,0.2519739866256714,0.628439180583421,0.25171372294425964,0.6265209954731945,0.005,0,0.25171372294425964
9,0.22401051223278046,0.6272753146512879,0.22373025119304657,0.625866125826595,0.005,0,0.22373025119304657
10,0.2007056325674057,0.6258451468171908,0.20040640234947205,0.6249119093925775,0.005,0,0.20040640234947205
11,0.18113474547863007,0.6242599857166534,0.18081791698932648,0.6237586332655521,0.005,0,0.18081791698932648
12,0.1646372228860855,0.6226341219883579,0.1643052101135254,0.6225458927517761,0.005,0,0.1643052101135254
13,0.1506299525499344,0.6210785625171843,0.15028676390647888,0.6213355121990258,0.005,0,0.15028676390647888
14,0.1386890411376953,0.6196275979743849,0.13833501935005188,0.6202438022805374,0.005,0,0.13833501935005188
15,0.1284385472536087,0.6183728256104456,0.12807634472846985,0.6193106040643866,0.005,0,0.12807634472846985
16,0.11963911354541779,0.6173207463303505,0.11927236616611481,0.6185499790343572,0.005,0,0.11927236616611481
17,0.11203355342149734,0.6164113477486921,0.11166589707136154,0.6179049103899709,0.005,0,0.11166589707136154
18,0.105521060526371,0.6156646770908181,0.10515275597572327,0.6173968769736995,0.005,0,0.10515275597572327
19,0.09991935640573502,0.6151088936723872,0.09955357015132904,0.6170479603476151,0.005,0,0.09955357015132904
20,0.09513985365629196,0.6146926816158998,0.09477942436933517,0.6168112857414381,0.005,0,0.09477942436933517
21,0.09106277674436569,0.6144352193766984,0.09071065485477448,0.616699349225768,0.005,0,0.09071065485477448
22,0.08760320395231247,0.6143431468281721,0.08725883066654205,0.6167434424865397,0.005,0,0.08725883066654205
23,0.08469219505786896,0.6143963754785333,0.08435548096895218,0.6169179742153287,0.005,0,0.08435548096895218
24,0.08226087689399719,0.6145983611066355,0.08193224668502808,0.6172266234883556,0.005,0,0.08193224668502808
25,0.08023948967456818,0.6149611426388628,0.07992178946733475,0.617664350669832,0.005,0,0.07992178946733475
26,0.07857320457696915,0.6154340681578699,0.07826615869998932,0.6181876735074607,0.005,0,0.07826615869998932
27,0.07721397280693054,0.6160881255626867,0.07691969722509384,0.6188572795890659,0.005,0,0.07691969722509384
28,0.07610968500375748,0.6168633695598498,0.0758289247751236,0.6196237909042228,0.005,0,0.0758289247751236
29,0.07521717995405197,0.6177873075748898,0.07495087385177612,0.6205092653325046,0.005,0,0.07495087385177612
30,0.07450089603662491,0.6188200776410298,0.07424704730510712,0.6215103695621762,0.005,0,0.07424704730510712
31,0.073921337723732,0.6200060427572545,0.07368265092372894,0.6226179041264993,0.005,0,0.07368265092372894
32,0.07345611602067947,0.621285704166683,0.07323102653026581,0.6238251029355083,0.005,0,0.07323102653026581
33,0.07307228446006775,0.622698118406538,0.072862409055233,0.6251504217606775,0.005,0,0.072862409055233
34,0.07275068014860153,0.6241867091885105,0.07255709916353226,0.6265349622269825,0.005,0,0.07255709916353226
35,0.0724768415093422,0.6257838084687762,0.07229902595281601,0.6280257826440704,0.005,0,0.07229902595281601
36,0.07223184406757355,0.627483938739172,0.07207050174474716,0.6295707412538826,0.005,0,0.07207050174474716
37,0.07200555503368378,0.6293121856452459,0.07185883820056915,0.6312359039397675,0.005,0,0.07185883820056915
38,0.07178747653961182,0.6312142534811189,0.07165830582380295,0.6329089197423223,0.005,0,0.07165830582380295
39,0.07157085090875626,0.633305280016423,0.07145963609218597,0.6347379404546949,0.005,0,0.07145963609218597
40,0.07135699689388275,0.6354453631052666,0.071262888610363,0.6366241993989117,0.005,0,0.071262888610363
41,0.071132130920887,0.6377408999157214,0.07105591893196106,0.6386773347041143,0.005,0,0.07105591893196106
42,0.07090241461992264,0.6401180602751758,0.07084374874830246,0.6408270448720076,0.005,0,0.07084374874830246
43,0.07066413760185242,0.6425809424466906,0.07062273472547531,0.6430432306304819,0.005,0,0.07062273472547531
44,0.07042047381401062,0.6451273371262317,0.07039632648229599,0.6452792599548721,0.005,0,0.07039632648229599
45,0.0701707974076271,0.6477520459929431,0.07016333192586899,0.6475538799113904,0.005,0,0.07016333192586899
46,0.06990910321474075,0.6503896168856764,0.06991863995790482,0.64980229281451,0.005,0,0.06991863995790482
47,0.06964576244354248,0.6530311990502942,0.06967174261808395,0.6520772230117652,0.005,0,0.06967174261808395
48,0.06938264518976212,0.6556490421384056,0.06942582875490189,0.6543132333901561,0.005,0,0.06942582875490189
49,0.06912034749984741,0.658261281907365,0.06918046623468399,0.6565412450045085,0.005,0,0.06918046623468399
50,0.06885792315006256,0.6607891816647322,0.068935327231884,0.6586933601301757,0.005,0,0.068935327231884
51,0.06860076636075974,0.6632166745751759,0.06869450956583023,0.6607770778304679,0.005,0,0.06869450956583023
52,0.0683511421084404,0.6655675699605772,0.06846128404140472,0.662804030948896,0.005,0,0.06846128404140472
53,0.0681072473526001,0.6677881404936563,0.06823309510946274,0.6647068747471656,0.005,0,0.06823309510946274
54,0.06787490099668503,0.6698645516414079,0.0680161565542221,0.6664650966287641,0.005,0,0.0680161565542221
55,0.06765854358673096,0.6718257414536286,0.06781484931707382,0.6681074187284839,0.005,0,0.06781484931707382
56,0.0674520879983902,0.6736275129757414,0.06762297451496124,0.6695874162435267,0.005,0,0.06762297451496124
57,0.06726061552762985,0.6753685949405074,0.06744590401649475,0.6710238225667767,0.005,0,0.06744590401649475
58,0.06708454340696335,0.6769338871476085,0.0672830194234848,0.6723124666739875,0.005,0,0.0672830194234848
59,0.06692450493574142,0.6783778392773063,0.067134328186512,0.6735178632448222,0.005,0,0.067134328186512
60,0.06677943468093872,0.6797665391787706,0.06700168550014496,0.6746640346221463,0.005,0,0.06700168550014496
61,0.06665065884590149,0.6810214679637192,0.06688312441110611,0.6757149976169723,0.005,0,0.06688312441110611
62,0.06653347611427307,0.6822273332902036,0.06677647680044174,0.6767271213134306,0.005,0,0.06677647680044174
63,0.0664297342300415,0.6833507772498615,0.06668202579021454,0.6776684923599879,0.005,0,0.06668202579021454
64,0.06634039431810379,0.6843653104314047,0.06660126149654388,0.6785120665269059,0.005,0,0.06660126149654388
65,0.06626008450984955,0.6853382695510799,0.06652849167585373,0.6793426757097436,0.005,0,0.06652849167585373
66,0.06619052588939667,0.6862442647116994,0.06646598130464554,0.6801092118915245,0.005,0,0.06646598130464554
67,0.06612563133239746,0.6871070462986225,0.06640732288360596,0.6808432402910469,0.005,0,0.06640732288360596
68,0.06606774032115936,0.6879328262973887,0.06635581701993942,0.6815395140506562,0.005,0,0.06635581701993942
69,0.06601599603891373,0.6887013581641175,0.06630814075469971,0.6822203610304137,0.005,0,0.06630814075469971
70,0.0659654289484024,0.6894491576956141,0.06626122444868088,0.6828831323428062,0.005,0,0.06626122444868088
71,0.06591754406690598,0.6901922493190116,0.06621678918600082,0.6835482067782268,0.005,0,0.06621678918600082
72,0.06587148457765579,0.6908363577060882,0.06617268174886703,0.6841335528966235,0.005,0,0.06617268174886703
73,0.06582386046648026,0.6915190690257711,0.066127710044384,0.6847372079550007,0.005,0,0.066127710044384
74,0.06577716767787933,0.6921566076217254,0.06608214229345322,0.6853286463962663,0.005,0,0.06608214229345322
75,0.06572996824979782,0.6927747120626476,0.06603585183620453,0.6858999618181278,0.005,0,0.06603585183620453
76,0.0656818076968193,0.6933578289242559,0.0659874752163887,0.6864571908895813,0.005,0,0.0659874752163887
77,0.06563051789999008,0.6939521756943079,0.0659361332654953,0.6870173340925374,0.005,0,0.0659361332654953
78,0.06557978689670563,0.6944984615248346,0.06588495522737503,0.6875321489923987,0.005,0,0.06588495522737503
79,0.0655275359749794,0.6950426402115903,0.06583137065172195,0.6880688844133387,0.005,0,0.06583137065172195
80,0.06547565758228302,0.6955713719838859,0.06577813625335693,0.6885898390010669,0.005,0,0.06577813625335693
81,0.06542370468378067,0.6960534145587695,0.0657251700758934,0.6890496157732415,0.005,0,0.0657251700758934
82,0.0653717890381813,0.6965456044912754,0.06567010283470154,0.6895685312978055,0.005,0,0.06567010283470154
83,0.06532018631696701,0.6970223188566025,0.06561673432588577,0.6900391226831506,0.005,0,0.06561673432588577
84,0.06526927649974823,0.6974682154559191,0.06556424498558044,0.6904818385830425,0.005,0,0.06556424498558044
85,0.06522119045257568,0.6978753953816659,0.06551282107830048,0.6909108849445087,0.005,0,0.06551282107830048
86,0.06517186015844345,0.6982969542964432,0.06546105444431305,0.6913393652942488,0.005,0,0.06546105444431305
87,0.06512639671564102,0.6986836297494711,0.06541240215301514,0.6917507125400841,0.005,0,0.06541240215301514
88,0.06508190184831619,0.699079617390458,0.06536635756492615,0.6921363737474989,0.005,0,0.06536635756492615
89,0.06503818929195404,0.6994502424821085,0.06532038003206253,0.6925086626318508,0.005,0,0.06532038003206253
90,0.06499718129634857,0.6998184337781205,0.06527672708034515,0.6928981154073565,0.005,0,0.06527672708034515
91,0.06495799124240875,0.7001828114353268,0.06523561477661133,0.6932599342588984,0.005,0,0.06523561477661133
92,0.064920574426651,0.7005494676089221,0.06519612669944763,0.6936363640282014,0.005,0,0.06519612669944763
93,0.06488428264856339,0.7009080476848057,0.0651588886976242,0.6939732203416675,0.005,0,0.0651588886976242
94,0.06485046446323395,0.7012418842623123,0.0651235356926918,0.6943096278717777,0.005,0,0.0651235356926918
95,0.06481746584177017,0.7016052486354218,0.0650896281003952,0.6946467020642348,0.005,0,0.0650896281003952
96,0.06478520482778549,0.7019746128987088,0.06505605578422546,0.6950085078904025,0.005,0,0.06505605578422546
97,0.06475482136011124,0.7023293182788551,0.06502538174390793,0.6953344619654519,0.005,0,0.06502538174390793
98,0.06472574919462204,0.7026920217365017,0.06499602645635605,0.6956796639915674,0.005,0,0.06499602645635605
99,0.06469682604074478,0.7030487496615001,0.06496614962816238,0.6960111408253847,0.005,0,0.06496614962816238
100,0.06466919183731079,0.7034314928415057,0.06493795663118362,0.6963728827088049,0.005,0,0.06493795663118362
101,0.06464262306690216,0.7038170560036039,0.06491176784038544,0.6967198751318452,0.005,0,0.06491176784038544
102,0.06461615860462189,0.7042162742250362,0.06488549709320068,0.6970856702749701,0.005,0,0.06488549709320068
103,0.06459012627601624,0.7046248441066739,0.06486038118600845,0.6974483215663521,0.005,0,0.06486038118600845
104,0.0645645260810852,0.705043130630872,0.06483525782823563,0.6978278916350231,0.005,0,0.06483525782823563
105,0.06454016268253326,0.7054636423349935,0.06481164693832397,0.6982108127773032,0.005,0,0.06481164693832397
106,0.0645153820514679,0.7058933272586699,0.06478848308324814,0.6985760821689502,0.005,0,0.06478848308324814
107,0.0644911378622055,0.7063375759188878,0.06476479768753052,0.6989878355696433,0.005,0,0.06476479768753052
108,0.06446752697229385,0.7067863707379862,0.0647427961230278,0.6993882225549393,0.005,0,0.0647427961230278
109,0.06444378197193146,0.7072389117777281,0.06472091376781464,0.6997832265082113,0.005,0,0.06472091376781464
110,0.06442060321569443,0.7076919020725269,0.06469911336898804,0.7001898467272454,0.005,0,0.06469911336898804
111,0.0643974021077156,0.7081703858927522,0.06467843055725098,0.7005936238622739,0.005,0,0.06467843055725098
112,0.06437582522630692,0.7086190738758119,0.06465888023376465,0.7009802560521479,0.005,0,0.06465888023376465
113,0.0643533244729042,0.7090859430147461,0.06463814526796341,0.7013916329011068,0.005,0,0.06463814526796341
114,0.06433248519897461,0.7095269204805132,0.064619280397892,0.7017694255982274,0.005,0,0.064619280397892
115,0.06431078910827637,0.7100084684561894,0.06460068374872208,0.7021733720631238,0.005,0,0.06460068374872208
116,0.06429009884595871,0.7104522034878801,0.06458199769258499,0.7025560326979148,0.005,0,0.06458199769258499
117,0.06426997482776642,0.710904260856681,0.06456420570611954,0.7029594593319579,0.005,0,0.06456420570611954
118,0.06425025314092636,0.7113401574940497,0.06454683095216751,0.703337217689455,0.005,0,0.06454683095216751
119,0.0642305463552475,0.7117838143424204,0.06453008949756622,0.7037057055327167,0.005,0,0.06453008949756622
120,0.06421124935150146,0.7122119753437942,0.06451323628425598,0.7040755776180454,0.005,0,0.06451323628425598
121,0.06419253349304199,0.7126592351492149,0.06449667364358902,0.7044692660084978,0.005,0,0.06449667364358902
122,0.0641745775938034,0.7130619955969821,0.06448164582252502,0.70480276769598,0.005,0,0.06448164582252502
123,0.06415645033121109,0.7134867524161441,0.06446675211191177,0.7051502148230011,0.005,0,0.06446675211191177
124,0.06413839012384415,0.7138965607259173,0.06445054709911346,0.7055205463488103,0.005,0,0.06445054709911346
125,0.06412145495414734,0.714285446026674,0.06443624198436737,0.7058442719007036,0.005,0,0.06443624198436737
126,0.0641043409705162,0.7146820142793942,0.06442143023014069,0.706187286848036,0.005,0,0.06442143023014069
127,0.06408805400133133,0.7150597156682916,0.06440763920545578,0.7065102533758361,0.005,0,0.06440763920545578
128,0.06407101452350616,0.7154458643353766,0.06439303606748581,0.7068395679974943,0.005,0,0.06439303606748581
129,0.06405533850193024,0.715804803467341,0.06437958031892776,0.7071513942777626,0.005,0,0.06437958031892776
130,0.06403975933790207,0.7161638700957482,0.06436657160520554,0.7074510335440433,0.005,0,0.06436657160520554
131,0.06402435898780823,0.7165161529347394,0.06435341387987137,0.707755543116244,0.005,0,0.06435341387987137
132,0.06400904804468155,0.7168535004217572,0.06433968245983124,0.7080507750694598,0.005,0,0.06433968245983124
133,0.06399376690387726,0.7172117022491319,0.06432755291461945,0.7083403232229146,0.005,0,0.06432755291461945
134,0.0639793649315834,0.7175374349461198,0.06431521475315094,0.7086150106082438,0.005,0,0.06431521475315094
135,0.0639643520116806,0.7178601165363332,0.06430176645517349,0.7089022580069203,0.005,0,0.06430176645517349
136,0.06395037472248077,0.7181750467234013,0.06428980827331543,0.709171654721972,0.005,0,0.06428980827331543
137,0.06393645703792572,0.7184856656277652,0.06427759677171707,0.7094350443711512,0.005,0,0.06427759677171707
138,0.0639222264289856,0.7188016436779228,0.06426588445901871,0.7096925086590794,0.005,0,0.06426588445901871
139,0.06390908360481262,0.7190960736330915,0.06425493955612183,0.7099377184378979,0.005,0,0.06425493955612183
140,0.0638958141207695,0.7193893427453801,0.06424355506896973,0.7101887481908465,0.005,0,0.06424355506896973
141,0.06388217955827713,0.719694220612686,0.06423170119524002,0.7104513136890604,0.005,0,0.06423170119524002
142,0.06386939436197281,0.7199668928241306,0.06422056257724762,0.7106732388348574,0.005,0,0.06422056257724762
143,0.06385694444179535,0.7202389669168678,0.06420983374118805,0.7109148074294538,0.005,0,0.06420983374118805
144,0.06384367495775223,0.7205355814379548,0.06419838219881058,0.7111690674752668,0.005,0,0.06419838219881058
145,0.06383148580789566,0.7207925899094318,0.06418789178133011,0.7113845675590839,0.005,0,0.06418789178133011
146,0.06381910294294357,0.7210771025442704,0.06417753547430038,0.7116115915469166,0.005,0,0.06417753547430038
147,0.06380777060985565,0.7213258771921591,0.06416754424571991,0.7118270407133609,0.005,0,0.06416754424571991
148,0.06379572302103043,0.721587167097493,0.06415752321481705,0.7120423987021839,0.005,0,0.06415752321481705
149,0.06378443539142609,0.7218400588746539,0.06414756923913956,0.7122667809072527,0.005,0,0.06414756923913956
150,0.06377270817756653,0.7221048266872214,0.0641372948884964,0.7124932234897348,0.005,0,0.0641372948884964
151,0.06376202404499054,0.722341288277781,0.06412792205810547,0.7127038852390053,0.005,0,0.06412792205810547
152,0.06375045329332352,0.7226001746712795,0.06411837041378021,0.7129135949518158,0.005,0,0.06411837041378021
153,0.06373965740203857,0.7228368501513941,0.06410940736532211,0.7131029258742327,0.005,0,0.06410940736532211
154,0.06372914463281631,0.7230753148225301,0.06410079449415207,0.7132973378768113,0.005,0,0.06410079449415207
155,0.06371854245662689,0.7233192197587317,0.06409180909395218,0.7135067314282602,0.005,0,0.06409180909395218
156,0.06370805948972702,0.7235555162835339,0.06408267468214035,0.7137054950900306,0.005,0,0.06408267468214035
157,0.06369800865650177,0.7237802995261353,0.06407468765974045,0.7138848000264941,0.005,0,0.06407468765974045
158,0.06368771195411682,0.7240109700053408,0.06406533718109131,0.7140948602402899,0.005,0,0.06406533718109131
159,0.06367764621973038,0.7242395104512218,0.06405715644359589,0.7142772119302503,0.005,0,0.06405715644359589
160,0.06366796791553497,0.7244607291759994,0.06404893100261688,0.7144648448174886,0.005,0,0.06404893100261688
161,0.06365839391946793,0.7246761698380993,0.06404093652963638,0.7146478406714221,0.005,0,0.06404093652963638
162,0.06364873796701431,0.7248958256032838,0.06403248012065887,0.7148365108521169,0.005,0,0.06403248012065887
163,0.06363899260759354,0.7251191414134777,0.06402471661567688,0.7150094747994717,0.005,0,0.06402471661567688
164,0.06362969428300858,0.7253342303593775,0.06401724368333817,0.7151938335812228,0.005,0,0.06401724368333817
165,0.06362055987119675,0.7255421521566203,0.06400953233242035,0.7153554062465566,0.005,0,0.06400953233242035
166,0.063611701130867,0.7257417953841885,0.06400260329246521,0.7155079700892689,0.005,0,0.06400260329246521
167,0.06360265612602234,0.7259514716303516,0.06399495899677277,0.7156930843427383,0.005,0,0.06399495899677277
168,0.06359384208917618,0.7261477423731179,0.06398720294237137,0.7158673709576626,0.005,0,0.06398720294237137
169,0.0635850727558136,0.7263565105401378,0.06398016959428787,0.716043063128903,0.005,0,0.06398016959428787
170,0.06357630342245102,0.7265560688425701,0.06397271901369095,0.7162143053585804,0.005,0,0.06397271901369095
171,0.06356792151927948,0.7267424466769049,0.06396607309579849,0.7163588384658803,0.005,0,0.06396607309579849
172,0.06355898827314377,0.7269448837348431,0.06395883113145828,0.7165211263426841,0.005,0,0.06395883113145828
173,0.06355145573616028,0.7271170067056824,0.06395231187343597,0.716669942429929,0.005,0,0.06395231187343597
174,0.06354302912950516,0.7273122062064804,0.06394603848457336,0.7168155613798084,0.005,0,0.06394603848457336
175,0.06353440135717392,0.727505094949785,0.06393791735172272,0.7170030249371788,0.005,0,0.06393791735172272
176,0.06352657079696655,0.7276873023727523,0.06393160670995712,0.7171503869189848,0.005,0,0.06393160670995712
177,0.06351899355649948,0.7278594497554903,0.06392557919025421,0.7172907151985867,0.005,0,0.06392557919025421
178,0.06351117789745331,0.7280427920870931,0.06391866505146027,0.7174491617740519,0.005,0,0.06391866505146027
179,0.06350323557853699,0.7282156052241782,0.06391263008117676,0.7175868766898883,0.005,0,0.06391263008117676
180,0.06349565833806992,0.7283944941512426,0.06390563398599625,0.7177535553020076,0.005,0,0.06390563398599625
181,0.06348826736211777,0.7285605111570385,0.06390001624822617,0.7178730737697341,0.005,0,0.06390001624822617
182,0.06348050385713577,0.7287340016835407,0.06389305740594864,0.718026242700296,0.005,0,0.06389305740594864
183,0.06347323209047318,0.7288962085845478,0.06388700753450394,0.7181651571347071,0.005,0,0.06388700753450394
184,0.06346581131219864,0.7290676713467273,0.06388050317764282,0.7183184515825138,0.005,0,0.06388050317764282
185,0.06345866620540619,0.7292313843912155,0.06387444585561752,0.7184651587432225,0.005,0,0.06387444585561752
