epoch,t.loss,t.auc,v.loss,v.auc,lr,s.cnt,min.v.loss
0,1.2492036819458008,0.43652204363141756,1.2490582466125488,0.4357390854182648,0.005,0,1.2490582466125488
1,1.1497602462768555,0.4486435892333046,1.1491854190826416,0.45112836995329736,0.005,0,1.1491854190826416
2,1.0567231178283691,0.4688510866897635,1.0561604499816895,0.46999418732007936,0.005,0,1.0561604499816895
3,0.9699766635894775,0.4931503284687761,0.9691214561462402,0.49296269923991687,0.005,0,0.9691214561462402
4,0.890566885471344,0.5210628461910509,0.8900105953216553,0.5235485543425822,0.005,0,0.8900105953216553
5,0.817602276802063,0.5546014936741223,0.8171530961990356,0.5528717924044428,0.005,0,0.8171530961990356
6,0.7511960864067078,0.5794730635603029,0.7503570914268494,0.5812091552676167,0.005,0,0.7503570914268494
7,0.6916001439094543,0.6016956777466431,0.6908010244369507,0.6041147948890969,0.005,0,0.6908010244369507
8,0.6381910443305969,0.6158648204632812,0.6373670697212219,0.6125841313672388,0.005,0,0.6373670697212219
9,0.5904720425605774,0.6229695176652239,0.5895571708679199,0.6202264074850187,0.005,0,0.5895571708679199
10,0.5478648543357849,0.6272851092596899,0.54720139503479,0.6265060778670716,0.005,0,0.54720139503479
11,0.5098934173583984,0.630176580918492,0.5091124176979065,0.6294365147701495,0.005,0,0.5091124176979065
12,0.47588950395584106,0.6327697209591232,0.4751737117767334,0.6314485419935798,0.005,0,0.4751737117767334
13,0.44547420740127563,0.6353101513061302,0.444929301738739,0.6304080241649399,0.005,0,0.444929301738739
14,0.4183155596256256,0.6346173105163855,0.4178416132926941,0.6305649657175934,0.005,0,0.4178416132926941
15,0.3937941789627075,0.6347611047562498,0.3933470547199249,0.6320906976905887,0.005,0,0.3933470547199249
16,0.37166598439216614,0.6340504993896268,0.371150940656662,0.6328578981664668,0.005,0,0.371150940656662
17,0.35156604647636414,0.6336950219084201,0.35124027729034424,0.6295300594570926,0.005,0,0.35124027729034424
18,0.3332425057888031,0.633012707757827,0.3328971564769745,0.6316911502498825,0.005,0,0.3328971564769745
19,0.31652402877807617,0.6322190961174549,0.3162936568260193,0.6299455700862527,0.005,0,0.3162936568260193
20,0.30117878317832947,0.6318026999115209,0.30072468519210815,0.6297248634050295,0.005,0,0.30072468519210815
21,0.2869236469268799,0.6317297944551149,0.28668212890625,0.6282502690521347,0.005,0,0.28668212890625
22,0.2738564610481262,0.6310265943211246,0.2735182046890259,0.6265388331314448,0.005,0,0.2735182046890259
23,0.2616140842437744,0.6302171605624745,0.26116496324539185,0.6268344582141441,0.005,0,0.26116496324539185
24,0.25021931529045105,0.6311277100917666,0.24988482892513275,0.6279614633450239,0.005,0,0.24988482892513275
25,0.23967143893241882,0.6300946034241431,0.23934487998485565,0.6295990027640697,0.005,0,0.23934487998485565
26,0.22972211241722107,0.6296373754629234,0.22935518622398376,0.6269966868847002,0.005,0,0.22935518622398376
27,0.22046518325805664,0.6284751284365838,0.2200537472963333,0.6276825332399977,0.005,0,0.2200537472963333
28,0.2116270512342453,0.6288809085655628,0.21138261258602142,0.6245736629164198,0.005,0,0.21138261258602142
29,0.20341147482395172,0.6280288028620286,0.20298777520656586,0.6250593317647561,0.005,0,0.20298777520656586
30,0.1955885887145996,0.628218465972511,0.19532108306884766,0.626171439419637,0.005,0,0.19532108306884766
31,0.18820986151695251,0.6288418209833646,0.18809184432029724,0.6240886394161813,0.005,0,0.18809184432029724
32,0.18137189745903015,0.6266752516910326,0.18117989599704742,0.6225706835917341,0.005,0,0.18117989599704742
33,0.17476849257946014,0.6270818818869138,0.17449341714382172,0.6255450254797166,0.005,0,0.17449341714382172
34,0.16868628561496735,0.6258820545636161,0.16840054094791412,0.6234611775256798,0.005,0,0.16840054094791412
35,0.16284017264842987,0.6259517433581651,0.16257046163082123,0.6241572109079242,0.005,0,0.16257046163082123
36,0.1572542041540146,0.6263384134829832,0.15710312128067017,0.6235855248549532,0.005,0,0.15710312128067017
37,0.15215253829956055,0.6263467740962112,0.15203645825386047,0.6211764510627114,0.005,0,0.15203645825386047
38,0.14740915596485138,0.6240121408413322,0.14715524017810822,0.6208628166236441,0.005,0,0.14715524017810822
39,0.14277173578739166,0.6247893037551085,0.14270220696926117,0.6206228975151034,0.005,0,0.14270220696926117
40,0.1384783834218979,0.6245269412485692,0.13830706477165222,0.6209057151023409,0.005,0,0.13830706477165222
41,0.13451708853244781,0.6240586062539426,0.1344050168991089,0.6213958267874905,0.005,0,0.1344050168991089
42,0.13077807426452637,0.623551579758818,0.13074414432048798,0.6198425757506519,0.005,0,0.13074414432048798
43,0.12734290957450867,0.6229782618008011,0.12725630402565002,0.6180915876883744,0.005,0,0.12725630402565002
44,0.12412440776824951,0.6217749024182622,0.12402472645044327,0.6191006954185846,0.005,0,0.12402472645044327
45,0.12101787328720093,0.6215154142089313,0.12088864296674728,0.6188754369610527,0.005,0,0.12088864296674728
46,0.11817567050457001,0.6217220046062188,0.11803007870912552,0.6182515736262749,0.005,0,0.11803007870912552
47,0.11561519652605057,0.6207918089352715,0.11533906310796738,0.6196605591680524,0.005,0,0.11533906310796738
48,0.11311738193035126,0.6215624711615415,0.11299362033605576,0.6175151011928552,0.005,0,0.11299362033605576
49,0.11085999011993408,0.6194661048359805,0.11076056212186813,0.6165013185373416,0.005,0,0.11076056212186813
50,0.10874043405056,0.6197801221593908,0.10859161615371704,0.6174950350114486,0.005,0,0.10859161615371704
51,0.10679641366004944,0.6194244452509121,0.10653799772262573,0.6177632357603007,0.005,0,0.10653799772262573
52,0.10505159199237823,0.6175315310615793,0.10490657389163971,0.615227280611392,0.005,0,0.10490657389163971
53,0.10326478630304337,0.6188653156081408,0.10314768552780151,0.6153148241530872,0.005,0,0.10314768552780151
54,0.10164632648229599,0.6178316866128725,0.10146759450435638,0.6160403694814662,0.005,0,0.10146759450435638
55,0.10025331377983093,0.6174107095603264,0.09994252771139145,0.6153446747589577,0.005,0,0.09994252771139145
56,0.09885759651660919,0.6170118494706937,0.09871144592761993,0.6153744886569545,0.005,0,0.09871144592761993
57,0.09759817272424698,0.6170580331406313,0.09765337407588959,0.6120419916000259,0.005,0,0.09765337407588959
58,0.09638078510761261,0.6171231236359636,0.09654433280229568,0.6107764568753439,0.005,0,0.09654433280229568
59,0.09539835155010223,0.6151108334125133,0.09523529559373856,0.6128406850630803,0.005,0,0.09523529559373856
60,0.09430885314941406,0.6155226774789235,0.09416209161281586,0.613799177372293,0.005,0,0.09416209161281586
61,0.09334808588027954,0.6155844896030328,0.09347502142190933,0.6099622667690661,0.005,0,0.09347502142190933
62,0.09256987273693085,0.6142606616315699,0.09245770424604416,0.6115472866941944,0.005,0,0.09245770424604416
63,0.09177418053150177,0.614419493003084,0.09178407490253448,0.6097538868285746,0.005,0,0.09178407490253448
64,0.09089650213718414,0.6146266090989247,0.0910874679684639,0.6086473327197104,0.005,0,0.0910874679684639
65,0.09025098383426666,0.6143070127051529,0.09038833528757095,0.6083576744426352,0.005,0,0.09038833528757095
