epoch,t.loss,t.auc,v.loss,v.auc,lr,s.cnt,min.v.loss
0,0.23594844341278076,0.5429050118818233,0.23715443909168243,0.5259023797456034,0.005,0,0.23715443909168243
1,0.1971016824245453,0.5356049333202713,0.19794896245002747,0.5176141555259988,0.005,0,0.19794896245002747
2,0.16765034198760986,0.532567509560265,0.16886191070079803,0.5169669458132382,0.005,0,0.16886191070079803
3,0.14517730474472046,0.5317422572102656,0.14665430784225464,0.5093439322829043,0.005,0,0.14665430784225464
4,0.12905673682689667,0.5330065352622866,0.13001829385757446,0.5142452489613151,0.005,0,0.13001829385757446
5,0.11553353071212769,0.5334015257147551,0.11691389232873917,0.5182347510965928,0.005,0,0.11691389232873917
6,0.10572368651628494,0.5317691762829585,0.1074504479765892,0.5215710527179328,0.005,0,0.1074504479765892
7,0.09800759702920914,0.5442299854814554,0.10051597654819489,0.5210943125702006,0.005,0,0.10051597654819489
8,0.09222934395074844,0.5471548336049818,0.09442224353551865,0.5326821888039438,0.005,0,0.09442224353551865
9,0.08815265446901321,0.5510750285261206,0.09002625197172165,0.5386543223017762,0.005,0,0.09002625197172165
10,0.08505737036466599,0.5552955911188592,0.08691434562206268,0.5451068596381508,0.005,0,0.08691434562206268
11,0.0821884348988533,0.5676406167115948,0.08464104682207108,0.548426827040065,0.005,0,0.08464104682207108
12,0.08015546202659607,0.5729652000405315,0.08230439573526382,0.5602649803428066,0.005,0,0.08230439573526382
13,0.07877801358699799,0.5810121270056097,0.08093588799238205,0.5658467593315031,0.005,0,0.08093588799238205
14,0.07735186815261841,0.5917447477140039,0.08015045523643494,0.5738830428998002,0.005,0,0.08015045523643494
15,0.07698436081409454,0.5937578292229138,0.07862740010023117,0.5884646053434163,0.005,0,0.07862740010023117
16,0.07656103372573853,0.5994530360120373,0.07892471551895142,0.5853777680485728,0.005,1,0.07862740010023117
17,0.07610080391168594,0.6049036346929828,0.07810717821121216,0.5955309474058073,0.005,0,0.07810717821121216
18,0.0755973607301712,0.614026564167141,0.07839441299438477,0.5930784238860551,0.005,1,0.07810717821121216
19,0.07531571388244629,0.6195631515607243,0.07829250395298004,0.5999648704752594,0.005,2,0.07810717821121216
20,0.07538154721260071,0.6213811679957522,0.07835923135280609,0.6037206583447929,0.005,3,0.07810717821121216
21,0.07507588714361191,0.6281553191837779,0.07765024155378342,0.6141631422850012,0.005,0,0.07765024155378342
22,0.07510867714881897,0.6317750401216592,0.07759099453687668,0.6179705551772916,0.005,0,0.07759099453687668
23,0.0747201070189476,0.6410277310823342,0.07765963673591614,0.6233244487878759,0.005,1,0.07759099453687668
24,0.07484202086925507,0.6427319297763188,0.0773986279964447,0.6302263311350681,0.005,0,0.0773986279964447
