epoch,t.loss,t.auc,v.loss,v.auc,lr,s.cnt,min.v.loss
0,0.600311815738678,0.4443576580940598,0.603278398513794,0.42925474319064016,0.005,0,0.603278398513794
1,0.4496459364891052,0.46849449584787267,0.4515362083911896,0.4530024377957367,0.005,0,0.4515362083911896
2,0.34341856837272644,0.49857879693202,0.34451824426651,0.4821502824889751,0.005,0,0.34451824426651
3,0.27152150869369507,0.5241620516355696,0.2722141742706299,0.5066343503739023,0.005,0,0.2722141742706299
4,0.22225625813007355,0.5408669921807091,0.2229745090007782,0.5225786280114142,0.005,0,0.2229745090007782
5,0.18715518712997437,0.5521541320921937,0.1880648136138916,0.5333178423342533,0.005,0,0.1880648136138916
6,0.16139017045497894,0.5609530128228821,0.16256651282310486,0.5419184517539797,0.005,0,0.16256651282310486
7,0.1420024335384369,0.5683418123667333,0.1434343308210373,0.549120928185463,0.005,0,0.1434343308210373
8,0.12719401717185974,0.5751445385666596,0.1288686841726303,0.555610934221092,0.005,0,0.1288686841726303
9,0.11569482088088989,0.5812082852276086,0.11759717017412186,0.5612521164322718,0.005,0,0.11759717017412186
10,0.1067088320851326,0.5865799814384891,0.10882721096277237,0.5664367405429283,0.005,0,0.10882721096277237
11,0.09966886043548584,0.5917257918049007,0.10198599100112915,0.5712151362674557,0.005,0,0.10198599100112915
12,0.09413807839155197,0.5965500983006836,0.09663951396942139,0.5759787470629517,0.005,0,0.09663951396942139
13,0.08980751782655716,0.6011258325247881,0.09247951209545135,0.580106726551566,0.005,0,0.09247951209545135
14,0.0864090844988823,0.6055458574097404,0.08924161642789841,0.5843627733049849,0.005,0,0.08924161642789841
15,0.08375534415245056,0.6098411342737424,0.08673315495252609,0.5883727590911345,0.005,0,0.08673315495252609
16,0.0816742330789566,0.6140354096574249,0.08478602766990662,0.5923764524724439,0.005,0,0.08478602766990662
17,0.08005210012197495,0.6179707795165703,0.08328200876712799,0.5960495215689668,0.005,0,0.08328200876712799
18,0.07877209037542343,0.621631960799622,0.08211175352334976,0.5994368672291658,0.005,0,0.08211175352334976
19,0.07778862118721008,0.6248453129345264,0.08122396469116211,0.6025381116547681,0.005,0,0.08122396469116211
20,0.07700635492801666,0.6279512038044976,0.08052845299243927,0.6053893234690776,0.005,0,0.08052845299243927
21,0.07638747990131378,0.6312219912628492,0.0799851194024086,0.6085134548505285,0.005,0,0.0799851194024086
22,0.0758931040763855,0.6341864978390456,0.07955668866634369,0.6115481274107976,0.005,0,0.07955668866634369
23,0.07549941539764404,0.6372320036875465,0.07921852171421051,0.6144507166153826,0.005,0,0.07921852171421051
24,0.07517663389444351,0.6400568359659511,0.07894418388605118,0.6172542147302263,0.005,0,0.07894418388605118
25,0.07490204274654388,0.6428774139761625,0.07871001213788986,0.6199571518343192,0.005,0,0.07871001213788986
26,0.07466013729572296,0.6454785316905609,0.07850063592195511,0.6224969880270839,0.005,0,0.07850063592195511
27,0.0744425356388092,0.6480323347110556,0.07830812782049179,0.6247861058570695,0.005,0,0.07830812782049179
